| №   | Дата/время         | Температура | Осадки (мм)  |
|-----|--------------------|-------------|--------------|
| 1   | 2025-05-10T00:00   | 5,8         | 0,00         |
| 2   | 2025-05-10T01:00   | 5,2         | 0,00         |
| 3   | 2025-05-10T02:00   | 5,0         | 0,00         |
| 4   | 2025-05-10T03:00   | 5,1         | 0,00         |
| 5   | 2025-05-10T04:00   | 5,2         | 0,00         |
| 6   | 2025-05-10T05:00   | 5,7         | 0,10         |
| 7   | 2025-05-10T06:00   | 6,3         | 0,30         |
| 8   | 2025-05-10T07:00   | 6,7         | 1,30         |
| 9   | 2025-05-10T08:00   | 7,0         | 1,30         |
| 10  | 2025-05-10T09:00   | 7,2         | 2,00         |
| 11  | 2025-05-10T10:00   | 7,9         | 2,50         |
| 12  | 2025-05-10T11:00   | 8,5         | 3,50         |
| 13  | 2025-05-10T12:00   | 8,9         | 3,50         |
| 14  | 2025-05-10T13:00   | 9,2         | 2,80         |
| 15  | 2025-05-10T14:00   | 9,5         | 0,90         |
| 16  | 2025-05-10T15:00   | 10,0        | 0,50         |
| 17  | 2025-05-10T16:00   | 9,7         | 0,60         |
| 18  | 2025-05-10T17:00   | 9,8         | 0,10         |
| 19  | 2025-05-10T18:00   | 8,6         | 0,20         |
| 20  | 2025-05-10T19:00   | 5,7         | 0,00         |
| 21  | 2025-05-10T20:00   | 5,0         | 0,00         |
| 22  | 2025-05-10T21:00   | 4,7         | 0,00         |
| 23  | 2025-05-10T22:00   | 4,7         | 0,00         |
| 24  | 2025-05-10T23:00   | 4,8         | 0,00         |
